molecule_chembl_id,target_chembl_id,target_name,bioactivity_type,smiles,standard_value,standard_units,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,RingCount,QED,BertzCT,fr_sulfonamd
CHEMBL386521,CHEMBL264,CA IV,Ki,O=C(NCCc1ccccc1)N1CCC[C@H]1CN1CCCC1,226.0,nM,301.43400000000014,2.498900000000001,1,2,35.580000000000005,3,0.9067914614400266,452.1864714168937,0
CHEMBL216708,CHEMBL264,CA IV,Ki,O=C(NCC1CCCCC1)N1CCC[C@H]1CN1CCCC1,458.0,nM,293.45500000000004,2.836500000000002,1,2,35.580000000000005,3,0.8649060072526837,316.93001187765793,0
CHEMBL218300,CHEMBL264,CA IV,Ki,O=C(NCc1ccc(Cl)c(Cl)c1)N1CCC[C@H]1CN1CCCC1,47.0,nM,356.29700000000025,3.763200000000003,1,2,35.580000000000005,3,0.8916574615740388,532.9693340915088,0
CHEMBL385201,CHEMBL264,CA IV,Ki,O=C(NCc1ccc(Oc2ccccc2)cc1)N1CCC[C@H]1CN1CCCC1,34.0,nM,379.5040000000003,4.248700000000003,1,3,44.81,4,0.816095614495342,733.36759512298,0
CHEMBL376247,CHEMBL264,CA IV,Ki,NCc1ccc(CNC(=O)N2CCC[C@H]2CN2CCCC2)cc1,109.0,nM,316.44900000000007,1.9150999999999996,2,3,61.6,3,0.8722134445619356,489.2745249269931,0
CHEMBL376019,CHEMBL264,CA IV,Ki,NCc1cccc(CNC(=O)N2CCC[C@H]2CN2CCCC2)c1,78.0,nM,316.4490000000001,1.9150999999999994,2,3,61.6,3,0.8722134445619356,506.52452492699314,0
CHEMBL218930,CHEMBL264,CA IV,Ki,O=C(NCc1cccc(C(F)(F)F)c1)N1CCC[C@H]1CN1CCCC1,117.0,nM,355.40400000000017,3.475200000000002,1,2,35.580000000000005,3,0.8976230537908353,567.9462612538605,0
CHEMBL218993,CHEMBL264,CA IV,Ki,COc1cccc(CNC(=O)N2CCC[C@H]2CN2CCCC2)c1,188.0,nM,317.4330000000001,2.4650000000000007,1,3,44.81,3,0.9071962013696423,506.52452492699314,0
CHEMBL218792,CHEMBL264,CA IV,Ki,COc1ccc(CNC(=O)N2CCC[C@H]2CN2CCCC2)cc1,295.0,nM,317.43300000000005,2.465,1,3,44.81,3,0.9071962013696423,489.2745249269931,0
CHEMBL374023,CHEMBL264,CA IV,Ki,CC(C)N1CCN(C(=O)NCc2ccc(Cl)c(Cl)c2)CC1,20.0,nM,330.2590000000001,3.229000000000002,1,2,35.58,2,0.9235606022030114,472.8117195504057,0
CHEMBL218984,CHEMBL264,CA IV,Ki,O=C(NCc1ccc(Cl)c(Cl)c1)N1CCN(C2CCCC2)CC1,15.0,nM,356.29700000000025,3.763200000000003,1,2,35.580000000000005,3,0.8951293973039235,524.9693340915089,0
CHEMBL441708,CHEMBL264,CA IV,Ki,CC(C)N1CCN(C(=O)NCc2ccc(Oc3ccccc3)cc2)CC1,34.0,nM,353.4660000000001,3.714500000000003,1,3,44.81,3,0.8910711438132706,669.7380667840829,0
CHEMBL218860,CHEMBL264,CA IV,Ki,O=C(NCc1ccc(Oc2ccccc2)cc1)N1CCN(C2CCCC2)CC1,38.0,nM,379.5040000000003,4.248700000000004,1,3,44.81,4,0.8447133653632976,725.3675951229802,0
